Nom fichier;Nb clients;Fitness de base;Nb vehicules min;Metaheuristique;Fitness resultat;Vehicules resultat;Nombre iterations;Temps d'execution;Amelioration fitness;Variation (µ);Température
A3205.txt;32;2497,08;5;Recuit simule;792,19;5;10000;401;1704,88;0,5;10
A3305.txt;33;2678,1;5;Recuit simule;978,03;5;10000;420;1700,07;0,5;10
A3306.txt;33;2330,28;6;Recuit simule;976,79;6;10000;422;1353,49;0,5;10
A3405.txt;34;2453,99;5;Recuit simule;890,77;5;10000;413;1563,22;0,5;10
A3605.txt;36;2762,31;5;Recuit simule;914,86;5;10000;438;1847,44;0,5;10
A3705.txt;37;2475,01;5;Recuit simule;857,95;5;10000;453;1617,06;0,5;10
A3706.txt;37;3625,06;6;Recuit simule;1045,02;6;10000;444;2580,05;0,5;10
A3805.txt;38;3132,8;5;Recuit simule;1021,77;5;10000;449;2111,03;0,5;10
A3905.txt;39;3785,13;5;Recuit simule;1208,39;5;10000;472;2576,74;0,5;10
A3906.txt;39;3438,84;6;Recuit simule;952,27;6;10000;461;2486,57;0,5;10
A4406.txt;44;3089,28;6;Recuit simule;1045,49;6;10000;490;2043,79;0,5;10
A4506.txt;45;3554,46;6;Recuit simule;1208,07;6;10000;515;2346,4;0,5;10
A4507.txt;45;3303,13;7;Recuit simule;1183,57;7;10000;522;2119,56;0,5;10
A4607.txt;46;2675,07;7;Recuit simule;1039,97;7;10000;542;1635,09;0,5;10
A5307.txt;53;3939,35;7;Recuit simule;1234,68;7;10000;597;2704,68;0,5;10
A5407.txt;54;4007,55;7;Recuit simule;1292,5;7;10000;608;2715,05;0,5;10
A5509.txt;55;4076,84;9;Recuit simule;1484,53;9;10000;628;2592,3;0,5;10
A6009.txt;60;4105,49;9;Recuit simule;1288,42;9;10000;656;2817,07;0,5;10
A6109.txt;61;4666,48;9;Recuit simule;1459,63;9;10000;670;3206,85;0,5;10
A6208.txt;62;5165,53;8;Recuit simule;1508,61;8;10000;647;3656,93;0,5;10
A6310.txt;63;5100,42;10;Recuit simule;1991,82;10;10000;692;3108,6;0,5;10
A6409.txt;64;4750,75;9;Recuit simule;1527,52;9;10000;706;3223,22;0,5;10
A6509.txt;65;5253,75;9;Recuit simule;1693,13;9;10000;713;3560,62;0,5;10
A6909.txt;69;5250,49;9;Recuit simule;1599,31;9;10000;706;3651,18;0,5;10
A8010.txt;80;5518,93;10;Recuit simule;1458,84;10;10000;825;4060,09;0,5;10
c101.txt;101;5466,47;10;Recuit simule;1096,74;10;10000;947;4369,73;0,5;10
c201.txt;101;6521,97;10;Recuit simule;1433,26;10;10000;941;5088,7;0,5;10
r101.txt;101;5121,46;8;Recuit simule;1041,88;8;10000;962;4079,57;0,5;10
