Nom fichier;Nb clients;Fitness de base;Nb vehicules min;Metaheuristique;Fitness resultat;Vehicules resultat;Nombre iterations;Temps d'execution;Amelioration fitness;Variation (µ);Température
A3205,txt;32;2972,18;5;Recuit simule;1026,5;5;10000;331;1945,68;0.5;250
A3305,txt;33;2688,58;5;Recuit simule;907,9;5;10000;342;1780,67;0.5;250
A3306,txt;33;1711,02;6;Recuit simule;820,9;6;10000;353;890,12;0.5;250
A3405,txt;34;2184,97;5;Recuit simule;806,04;5;10000;356;1378,93;0.5;250
A3605,txt;36;2666,2;5;Recuit simule;841,78;5;10000;353;1824,41;0.5;250
A3705,txt;37;2944,92;5;Recuit simule;847,61;5;10000;355;2097,31;0.5;250
A3706,txt;37;2832,19;6;Recuit simule;1144,01;6;10000;367;1688,18;0.5;250
A3805,txt;38;3185,51;5;Recuit simule;1071,39;5;10000;363;2114,12;0.5;250
A3905,txt;39;2624,68;5;Recuit simule;828,4;5;10000;376;1796,28;0.5;250
A3906,txt;39;3921,16;6;Recuit simule;1238,51;7;10000;382;2682,64;0.5;250
A4406,txt;44;3196,33;6;Recuit simule;1202,87;7;10000;415;1993,46;0.5;250
A4506,txt;45;3487,14;6;Recuit simule;1069,08;7;10000;427;2418,06;0.5;250
A4507,txt;45;3555,13;7;Recuit simule;1353,34;7;10000;424;2201,79;0.5;250
A4607,txt;46;3198,38;7;Recuit simule;1205,51;7;10000;447;1992,87;0.5;250
A5307,txt;53;3386,14;7;Recuit simule;1080,49;7;10000;493;2305,65;0.5;250
A5407,txt;54;4149,7;7;Recuit simule;1141,19;8;10000;495;3008,51;0.5;250
A5509,txt;55;3928,81;9;Recuit simule;1284,92;10;10000;538;2643,89;0.5;250
A6009,txt;60;4726,78;9;Recuit simule;1672,69;9;10000;553;3054,09;0.5;250
A6109,txt;61;4013,23;9;Recuit simule;1337,06;10;10000;560;2676,16;0.5;250
A6208,txt;62;5339,01;8;Recuit simule;1386,87;8;10000;526;3952,13;0.5;250
A6310,txt;63;4233,41;10;Recuit simule;1329,2;11;10000;595;2904,22;0.5;250
A6409,txt;64;4302,01;9;Recuit simule;1341,94;10;10000;580;2960,07;0.5;250
A6509,txt;65;5541,96;9;Recuit simule;1643,8;10;10000;581;3898,15;0.5;250
A6909,txt;69;4348,8;9;Recuit simule;1193,66;9;10000;582;3155,14;0.5;250
A8010,txt;80;5654,21;10;Recuit simule;1590,62;10;10000;666;4063,59;0.5;250
c101,txt;101;5084,13;10;Recuit simule;1096,18;11;10000;804;3987,95;0.5;250
c201,txt;101;5647,31;10;Recuit simule;1047,63;10;10000;787;4599,68;0.5;250
r101,txt;101;4277,55;8;Recuit simule;965,65;9;10000;792;3311,9;0.5;250
