Nom fichier;Nb clients;Fitness de base;Nb vehicules min;Metaheuristique;Fitness resultat;Vehicules resultat;Nombre iterations;Temps d'execution;Amelioration fitness;Variation (µ);Température
A3205,txt;32;2516,63;5;Recuit simule;937,87;6;10000;732;1578,76;0.7;10
A3305,txt;33;2598,21;5;Recuit simule;844,47;5;10000;727;1753,74;0.7;10
A3306,txt;33;1989,02;6;Recuit simule;766,85;6;10000;774;1222,17;0.7;10
A3405,txt;34;2245,34;5;Recuit simule;793,8;5;10000;730;1451,54;0.7;10
A3605,txt;36;3045,17;5;Recuit simule;1191,83;5;10000;745;1853,33;0.7;10
A3705,txt;37;2519,26;5;Recuit simule;843,75;5;10000;772;1675,51;0.7;10
A3706,txt;37;3416,8;6;Recuit simule;1133,91;7;10000;828;2282,9;0.7;10
A3805,txt;38;3572,59;5;Recuit simule;967,33;6;10000;788;2605,26;0.7;10
A3905,txt;39;2598,72;5;Recuit simule;899,95;6;10000;811;1698,77;0.7;10
A3906,txt;39;2885,57;6;Recuit simule;1024,69;6;10000;823;1860,89;0.7;10
A4406,txt;44;2667,67;6;Recuit simule;1066,01;6;10000;879;1601,66;0.7;10
A4506,txt;45;3190,01;6;Recuit simule;966,86;7;10000;900;2223,15;0.7;10
A4507,txt;45;3201,74;7;Recuit simule;1186,81;8;10000;970;2014,93;0.7;10
A4607,txt;46;3076,76;7;Recuit simule;956,63;7;10000;925;2120,13;0.7;10
A5307,txt;53;3809,26;7;Recuit simule;1354,51;8;10000;1060;2454,75;0.7;10
A5407,txt;54;4176,73;7;Recuit simule;1374,51;9;10000;1153;2802,22;0.7;10
A5509,txt;55;3954,39;9;Recuit simule;1284,95;9;10000;1185;2669,44;0.7;10
A6009,txt;60;4426,83;9;Recuit simule;1271,93;10;10000;1254;3154,9;0.7;10
A6109,txt;61;3797,18;9;Recuit simule;1187,83;11;10000;1309;2609,35;0.7;10
A6208,txt;62;4345,84;8;Recuit simule;1332,96;9;10000;1318;3012,87;0.7;10
A6310,txt;63;4951,52;10;Recuit simule;1761,78;10;10000;1575;3189,74;0.7;10
A6409,txt;64;3911,28;9;Recuit simule;1194,91;10;10000;1269;2716,37;0.7;10
A6509,txt;65;6440,18;9;Recuit simule;1878,16;9;10000;1185;4562,01;0.7;10
A6909,txt;69;6079,72;9;Recuit simule;1768,92;9;10000;1223;4310,8;0.7;10
A8010,txt;80;6229,43;10;Recuit simule;1677,56;11;10000;1438;4551,87;0.7;10
c101,txt;101;5198,58;10;Recuit simule;1162,28;10;10000;1694;4036,3;0.7;10
c201,txt;101;6021,57;10;Recuit simule;1290,89;11;10000;1703;4730,68;0.7;10
r101,txt;101;4998,14;8;Recuit simule;1010,12;8;10000;1723;3988,02;0.7;10
