Nom fichier,Nb clients,Fitness de base,Nb vehicules min,Metaheuristique,Fitness resultat,Vehicules resultat,Nombre iterations,Temps d'execution,Amelioration fitness,Taille liste tabou
A3205.txt,32,2575.83,5,Tabou,898.98,5,1000,1013,1676.86,10
A3305.txt,33,2941.44,5,Tabou,982.33,5,1000,864,1959.11,10
A3306.txt,33,2222.28,6,Tabou,847.73,6,1000,1173,1374.56,10
A3405.txt,34,2710.14,5,Tabou,905.18,5,1000,1122,1804.96,10
A3605.txt,36,2925.04,5,Tabou,1104.5,5,1000,1260,1820.55,10
A3705.txt,37,2763.58,5,Tabou,736.58,5,1000,1491,2026.99,10
A3706.txt,37,2649.22,6,Tabou,928.5,6,1000,1142,1720.72,10
A3805.txt,38,2688.3,5,Tabou,835.39,5,1000,1783,1852.9,10
A3905.txt,39,2784.2,5,Tabou,937.77,5,1000,1482,1846.44,10
A3906.txt,39,3551.58,6,Tabou,1176.34,6,1000,1434,2375.25,10
A4406.txt,44,2972.04,6,Tabou,1118.13,6,1000,1488,1853.91,10
A4506.txt,45,3701.07,6,Tabou,1086.79,6,1000,2413,2614.28,10
A4507.txt,45,3403.28,7,Tabou,1132.41,7,1000,2365,2270.87,10
A4607.txt,46,3120.68,7,Tabou,978.41,7,1000,1677,2142.27,10
A5307.txt,53,4057.3,7,Tabou,1236.44,7,1000,2957,2820.86,10
A5407.txt,54,4833.97,7,Tabou,1326.85,7,1000,3042,3507.12,10
A5509.txt,55,4101.74,9,Tabou,1476.58,9,1000,3300,2625.16,10
A6009.txt,60,4952.92,9,Tabou,1459.25,9,1000,4229,3493.67,10
A6109.txt,61,4660.62,9,Tabou,1558.28,9,1000,4235,3102.33,10
A6208.txt,62,4532.13,8,Tabou,1131.17,8,1000,5663,3400.96,10
A6310.txt,63,5352.46,10,Tabou,1709.6,10,1000,4359,3642.86,10
A6409.txt,64,3699.38,9,Tabou,1122.13,9,1000,5710,2577.25,10
A6509.txt,65,5741.78,9,Tabou,1756.02,9,1000,5297,3985.76,10
A6909.txt,69,4995.39,9,Tabou,1513.96,9,1000,6642,3481.43,10
A8010.txt,80,5122.54,10,Tabou,1392.59,10,1000,8701,3729.95,10
c101.txt,101,4868.78,10,Tabou,1113.95,10,1000,23912,3754.84,10
c201.txt,101,6509.65,10,Tabou,1519.96,10,1000,17948,4989.69,10
r101.txt,101,6056.92,8,Tabou,1242.3,8,1000,24973,4814.62,10
