Nom fichier;Nb clients;Fitness de base;Nb vehicules min;Metaheuristique;Fitness resultat;Vehicules resultat;Nombre iterations;Temps d'execution;Amelioration fitness;Variation (µ);Température
A3205.txt;32;2828,63;5;Recuit simule;939,43;5;10000;3062;1889,21;0,9;50
A3305.txt;33;2105,73;5;Recuit simule;846,9;5;10000;2923;1258,83;0,9;50
A3306.txt;33;2500,98;6;Recuit simule;921,95;6;10000;2979;1579,04;0,9;50
A3405.txt;34;2858,45;5;Recuit simule;863,98;5;10000;2967;1994,46;0,9;50
A3605.txt;36;2183,67;5;Recuit simule;762,0;5;10000;3160;1421,67;0,9;50
A3705.txt;37;2927,17;5;Recuit simule;875,78;5;10000;3069;2051,39;0,9;50
A3706.txt;37;2829,32;6;Recuit simule;952,75;6;10000;3233;1876,57;0,9;50
A3805.txt;38;2596,03;5;Recuit simule;864,36;5;10000;3097;1731,67;0,9;50
A3905.txt;39;2445,66;5;Recuit simule;787,39;5;10000;3214;1658,28;0,9;50
A3906.txt;39;2569,31;6;Recuit simule;889,49;6;10000;3307;1679,82;0,9;50
A4406.txt;44;2552,61;6;Recuit simule;935,48;6;10000;3536;1617,13;0,9;50
A4506.txt;45;3801,41;6;Recuit simule;1048,89;6;10000;3907;2752,51;0,9;50
A4507.txt;45;3877,82;7;Recuit simule;1312,46;7;10000;3833;2565,36;0,9;50
A4607.txt;46;3073,31;7;Recuit simule;1116,08;7;10000;3871;1957,23;0,9;50
A5307.txt;53;3718,02;7;Recuit simule;1191,75;7;10000;4084;2526,27;0,9;50
A5407.txt;54;3883,51;7;Recuit simule;1315,13;7;10000;4280;2568,38;0,9;50
A5509.txt;55;4985,81;9;Recuit simule;1582,77;9;10000;4403;3403,03;0,9;50
A6009.txt;60;5430,43;9;Recuit simule;1597,43;9;10000;4759;3833,0;0,9;50
A6109.txt;61;4219,37;9;Recuit simule;1234,77;9;10000;4817;2984,6;0,9;50
A6208.txt;62;4854,83;8;Recuit simule;1366,98;8;10000;5064;3487,85;0,9;50
A6310.txt;63;4955,3;10;Recuit simule;1831,61;10;10000;5420;3123,69;0,9;50
A6409.txt;64;4320,98;9;Recuit simule;1410,38;9;10000;5496;2910,6;0,9;50
A6509.txt;65;4272,53;9;Recuit simule;1288,43;9;10000;5492;2984,1;0,9;50
A6909.txt;69;5084,48;9;Recuit simule;1424,74;9;10000;5618;3659,74;0,9;50
A8010.txt;80;7635,77;10;Recuit simule;2032,2;10;10000;6231;5603,56;0,9;50
c101.txt;101;5503,34;10;Recuit simule;1146,51;10;10000;6916;4356,83;0,9;50
c201.txt;101;4987,64;10;Recuit simule;1138,89;10;10000;6862;3848,75;0,9;50
r101.txt;101;4303,37;8;Recuit simule;1031,06;8;10000;6752;3272,31;0,9;50
