Nom fichier;Nb clients;Fitness de base;Nb vehicules min;Metaheuristique;Fitness resultat;Vehicules resultat;Nombre iterations;Temps d'execution;Amelioration fitness;Taille liste tabou
A3205,txt;32;3113,66;5;Tabou;906,35;6;10000;11686;2207,3;10
A3305,txt;33;2252,94;5;Tabou;744,14;6;10000;12189;1508,8;10
A3306,txt;33;2405,06;6;Tabou;951,65;6;10000;8944;1453,42;10
A3405,txt;34;3026,23;5;Tabou;1014,88;7;10000;18322;2011,35;10
A3605,txt;36;2644,56;5;Tabou;761,32;6;10000;14870;1883,24;10
A3705,txt;37;3572,27;5;Tabou;904,38;5;10000;14668;2667,89;10
A3706,txt;37;2180,78;6;Tabou;934,73;8;10000;13608;1246,05;10
A3805,txt;38;2102,29;5;Tabou;773,33;6;10000;16709;1328,96;10
A3905,txt;39;2857,48;5;Tabou;884,05;7;10000;19811;1973,43;10
A3906,txt;39;2533,55;6;Tabou;845,2;7;10000;19963;1688,35;10
A4406,txt;44;2734,62;6;Tabou;1084,34;7;10000;20013;1650,28;10
A4506,txt;45;3462,09;6;Tabou;1340,02;7;10000;21112;2122,08;10
A4507,txt;45;3079,8;7;Tabou;1087,74;9;10000;27339;1992,06;10
A4607,txt;46;3571,09;7;Tabou;1235,86;7;10000;23450;2335,23;10
A5307,txt;53;4816,18;7;Tabou;1373,23;7;10000;31864;3442,95;10
A5407,txt;54;3771,98;7;Tabou;1065,07;8;10000;35857;2706,91;10
A5509,txt;55;4373,31;9;Tabou;1553,23;9;10000;25749;2820,08;10
A6009,txt;60;4847,01;9;Tabou;1457,35;10;10000;52889;3389,65;10
A6109,txt;61;4204,63;9;Tabou;1352,2;11;10000;57313;2852,43;10
A6208,txt;62;4346,16;8;Tabou;1172,87;10;10000;55729;3173,29;10
A6310,txt;63;4194,24;10;Tabou;1494,89;11;10000;51006;2699,35;10
A6409,txt;64;5061,64;9;Tabou;1466,23;10;10000;44457;3595,42;10
A6509,txt;65;5012,0;9;Tabou;1690,3;10;10000;40658;3321,7;10
A6909,txt;69;6663,81;9;Tabou;1945,38;10;10000;57448;4718,43;10
A8010,txt;80;6579,11;10;Tabou;1838,55;12;10000;100490;4740,56;10
c101,txt;101;5012,62;10;Tabou;1133,43;12;10000;267676;3879,19;10
c201,txt;101;7757,38;10;Tabou;1730,83;10;10000;102165;6026,56;10
r101,txt;101;5244,46;8;Tabou;1105,66;10;10000;240427;4138,8;10
