Nom fichier;Nb clients;Fitness de base;Nb vehicules min;Metaheuristique;Fitness resultat;Vehicules resultat;Nombre iterations;Temps d'execution;Amelioration fitness;Taille liste tabou
A3205,txt;32;2739,37;5;Tabou;899,67;7;1000;1752;1839,71;1
A3305,txt;33;2478,99;5;Tabou;777,83;6;1000;1097;1701,17;1
A3306,txt;33;2613,2;6;Tabou;997,84;6;1000;877;1615,36;1
A3405,txt;34;2503,11;5;Tabou;1113,67;6;1000;1283;1389,44;1
A3605,txt;36;2729,3;5;Tabou;895,65;7;1000;1685;1833,64;1
A3705,txt;37;2984,22;5;Tabou;887,46;5;1000;1443;2096,77;1
A3706,txt;37;2827,37;6;Tabou;1008,82;7;1000;1322;1818,55;1
A3805,txt;38;3023,02;5;Tabou;948,33;6;1000;1539;2074,69;1
A3905,txt;39;2744,03;5;Tabou;989,52;5;1000;1533;1754,51;1
A3906,txt;39;3279,27;6;Tabou;958,59;6;1000;1717;2320,68;1
A4406,txt;44;2760,11;6;Tabou;873,93;6;1000;1744;1886,18;1
A4506,txt;45;4104,13;6;Tabou;1366,49;8;1000;2325;2737,64;1
A4507,txt;45;3788,36;7;Tabou;1330,17;8;1000;2217;2458,19;1
A4607,txt;46;3969,13;7;Tabou;1223,47;7;1000;1945;2745,66;1
A5307,txt;53;3359,98;7;Tabou;1058,15;8;1000;3598;2301,83;1
A5407,txt;54;4533,06;7;Tabou;1157,26;8;1000;3230;3375,8;1
A5509,txt;55;5280,94;9;Tabou;1673,43;10;1000;2919;3607,5;1
A6009,txt;60;4708,92;9;Tabou;1592,63;9;1000;3274;3116,29;1
A6109,txt;61;3951,19;9;Tabou;1329,65;13;1000;7302;2621,54;1
A6208,txt;62;4406,57;8;Tabou;1372,76;10;1000;6346;3033,81;1
A6310,txt;63;4022,13;10;Tabou;1388,3;10;1000;4946;2633,83;1
A6409,txt;64;3817,2;9;Tabou;1094,24;10;1000;5334;2722,96;1
A6509,txt;65;6341,24;9;Tabou;1644,93;10;1000;4191;4696,31;1
A6909,txt;69;6038,86;9;Tabou;1772,79;9;1000;5446;4266,07;1
A8010,txt;80;6390,53;10;Tabou;1578,54;11;1000;7338;4811,98;1
c101,txt;101;5966,86;10;Tabou;1236,02;11;1000;17233;4730,84;1
c201,txt;101;7194,93;10;Tabou;1532,52;10;1000;18755;5662,41;1
r101,txt;101;6227,29;8;Tabou;1238,66;9;1000;29585;4988,63;1
