Nom fichier;Nb clients;Fitness de base;Nb vehicules min;Metaheuristique;Fitness resultat;Vehicules resultat;Nombre iterations;Temps d'execution;Amelioration fitness;Variation (µ);Température
A3205,txt;32;3230,92;5;Recuit simule;986,89;5;10000;2961;2244,03;0.9;50
A3305,txt;33;3195,43;5;Recuit simule;895,02;5;10000;2862;2300,41;0.9;50
A3306,txt;33;1824,88;6;Recuit simule;857,21;6;10000;3007;967,67;0.9;50
A3405,txt;34;2402,65;5;Recuit simule;735,06;5;10000;2888;1667,59;0.9;50
A3605,txt;36;2870,63;5;Recuit simule;918,38;5;10000;3553;1952,25;0.9;50
A3705,txt;37;2589,07;5;Recuit simule;891,87;5;10000;3167;1697,21;0.9;50
A3706,txt;37;2955,86;6;Recuit simule;1035,66;6;10000;3109;1920,2;0.9;50
A3805,txt;38;2932,97;5;Recuit simule;947,64;6;10000;3081;1985,34;0.9;50
A3905,txt;39;2857,31;5;Recuit simule;1028,59;5;10000;3265;1828,72;0.9;50
A3906,txt;39;2789,79;6;Recuit simule;1035,89;7;10000;3064;1753,9;0.9;50
A4406,txt;44;2861,31;6;Recuit simule;1043,27;6;10000;3367;1818,04;0.9;50
A4506,txt;45;3424,83;6;Recuit simule;1215,55;7;10000;3465;2209,27;0.9;50
A4507,txt;45;2876,8;7;Recuit simule;1078,86;8;10000;3533;1797,95;0.9;50
A4607,txt;46;2866,21;7;Recuit simule;1112,26;7;10000;3384;1753,95;0.9;50
A5307,txt;53;4251,17;7;Recuit simule;1275,05;7;10000;3717;2976,13;0.9;50
A5407,txt;54;4426,68;7;Recuit simule;1298,91;9;10000;4030;3127,77;0.9;50
A5509,txt;55;4015,64;9;Recuit simule;1593,21;10;10000;4288;2422,43;0.9;50
A6009,txt;60;5215,73;9;Recuit simule;1610,86;9;10000;4503;3604,88;0.9;50
A6109,txt;61;4027,98;9;Recuit simule;1384,69;11;10000;4897;2643,29;0.9;50
A6208,txt;62;6062,27;8;Recuit simule;1653,55;8;10000;4482;4408,72;0.9;50
A6310,txt;63;6462,28;10;Recuit simule;1749,83;10;10000;4737;4712,45;0.9;50
A6409,txt;64;4370,58;9;Recuit simule;1261,35;9;10000;4741;3109,23;0.9;50
A6509,txt;65;4904,18;9;Recuit simule;1794,33;9;10000;4663;3109,85;0.9;50
A6909,txt;69;7435,78;9;Recuit simule;2205,57;10;10000;4800;5230,21;0.9;50
A8010,txt;80;5079,35;10;Recuit simule;1493,24;10;10000;5097;3586,11;0.9;50
c101,txt;101;5959,99;10;Recuit simule;1219,11;10;10000;5920;4740,88;0.9;50
c201,txt;101;8634,59;10;Recuit simule;1689,66;9;10000;6064;6944,93;0.9;50
r101,txt;101;4647,31;8;Recuit simule;1010,6;10;10000;6345;3636,71;0.9;50
