Nom fichier;Nb clients;Fitness de base;Nb vehicules min;Metaheuristique;Fitness resultat;Vehicules resultat;Nombre iterations;Temps d'execution;Amelioration fitness;Taille liste tabou
A3205,txt;32;3013,22;5;Tabou;984,02;6;1000;1068;2029,19;20
A3305,txt;33;2707,67;5;Tabou;903,09;5;1000;1022;1804,58;20
A3306,txt;33;2937,33;6;Tabou;1179,97;6;1000;811;1757,36;20
A3405,txt;34;3172,06;5;Tabou;828,29;6;1000;1275;2343,77;20
A3605,txt;36;2366,11;5;Tabou;881,03;6;1000;1581;1485,08;20
A3705,txt;37;2769,55;5;Tabou;959,09;5;1000;1667;1810,46;20
A3706,txt;37;2880,23;6;Tabou;1050,37;7;1000;1424;1829,86;20
A3805,txt;38;2831,2;5;Tabou;801,88;6;1000;1659;2029,32;20
A3905,txt;39;2568,68;5;Tabou;806,05;7;1000;2144;1762,63;20
A3906,txt;39;3393,28;6;Tabou;1094,19;6;1000;1466;2299,09;20
A4406,txt;44;3846,2;6;Tabou;1134,49;8;1000;2817;2711,7;20
A4506,txt;45;3682,64;6;Tabou;1299,51;8;1000;2055;2383,13;20
A4507,txt;45;3120,46;7;Tabou;1049,59;8;1000;1902;2070,87;20
A4607,txt;46;3471,22;7;Tabou;1313,84;8;1000;2324;2157,38;20
A5307,txt;53;4172,8;7;Tabou;1169,57;7;1000;3145;3003,22;20
A5407,txt;54;3745,59;7;Tabou;1188,03;9;1000;4673;2557,56;20
A5509,txt;55;3552,01;9;Tabou;1500,21;9;1000;2542;2051,8;20
A6009,txt;60;4568,62;9;Tabou;1541,92;10;1000;4212;3026,69;20
A6109,txt;61;4816,59;9;Tabou;1543,6;10;1000;4154;3272,99;20
A6208,txt;62;6167,64;8;Tabou;1571,08;9;1000;5250;4596,56;20
A6310,txt;63;4754,0;10;Tabou;1483,76;13;1000;6904;3270,24;20
A6409,txt;64;4162,71;9;Tabou;1353,33;11;1000;5257;2809,38;20
A6509,txt;65;4692,95;9;Tabou;1435,11;10;1000;5767;3257,85;20
A6909,txt;69;5102,39;9;Tabou;1574,35;12;1000;7553;3528,04;20
A8010,txt;80;5908,04;10;Tabou;1652,88;12;1000;8983;4255,17;20
c101,txt;101;9121,9;10;Tabou;1605,14;9;1000;14083;7516,76;20
c201,txt;101;6882,22;10;Tabou;1575,34;11;1000;18814;5306,88;20
r101,txt;101;4899,85;8;Tabou;957,27;9;1000;20802;3942,58;20
