Nom fichier;Nb clients;Fitness de base;Nb vehicules min;Metaheuristique;Fitness resultat;Vehicules resultat;Nombre iterations;Temps d'execution;Amelioration fitness;Variation (µ);Température
A3205,txt;32;2680,28;5;Recuit simule;990,81;4;10000;2775;1689,47;0.9;250
A3305,txt;33;2728,57;5;Recuit simule;936,18;5;10000;2897;1792,39;0.9;250
A3306,txt;33;3176,19;6;Recuit simule;1045,86;6;10000;3068;2130,34;0.9;250
A3405,txt;34;3178,76;5;Recuit simule;902,12;5;10000;2963;2276,65;0.9;250
A3605,txt;36;3668,35;5;Recuit simule;1149,73;5;10000;3006;2518,62;0.9;250
A3705,txt;37;3258,67;5;Recuit simule;931,92;5;10000;3034;2326,76;0.9;250
A3706,txt;37;3121,22;6;Recuit simule;1046,83;7;10000;3134;2074,4;0.9;250
A3805,txt;38;2936,44;5;Recuit simule;836,2;6;10000;3198;2100,24;0.9;250
A3905,txt;39;2465,13;5;Recuit simule;832,79;5;10000;3114;1632,34;0.9;250
A3906,txt;39;3336,14;6;Recuit simule;919,41;6;10000;3182;2416,74;0.9;250
A4406,txt;44;3157,66;6;Recuit simule;1054,25;6;10000;3283;2103,41;0.9;250
A4506,txt;45;4206,61;6;Recuit simule;1300,93;6;10000;3277;2905,68;0.9;250
A4507,txt;45;3332,25;7;Recuit simule;1117,4;7;10000;3362;2214,85;0.9;250
A4607,txt;46;3666,94;7;Recuit simule;1224,44;7;10000;3437;2442,51;0.9;250
A5307,txt;53;4582,07;7;Recuit simule;1152,28;8;10000;3805;3429,79;0.9;250
A5407,txt;54;5216,42;7;Recuit simule;1337,48;8;10000;3909;3878,94;0.9;250
A5509,txt;55;4545,21;9;Recuit simule;1340,72;9;10000;4128;3204,49;0.9;250
A6009,txt;60;5306,78;9;Recuit simule;1609,33;9;10000;4425;3697,46;0.9;250
A6109,txt;61;3795,43;9;Recuit simule;1261,4;10;10000;4658;2534,03;0.9;250
A6208,txt;62;4487,81;8;Recuit simule;1171,44;8;10000;4592;3316,36;0.9;250
A6310,txt;63;4140,2;10;Recuit simule;1253,98;10;10000;4782;2886,22;0.9;250
A6409,txt;64;4521,71;9;Recuit simule;1347,37;10;10000;4663;3174,34;0.9;250
A6509,txt;65;5639,44;9;Recuit simule;1649,51;10;10000;4787;3989,93;0.9;250
A6909,txt;69;7188,41;9;Recuit simule;1962,4;9;10000;4757;5226,01;0.9;250
A8010,txt;80;6873,34;10;Recuit simule;1988,36;10;10000;5180;4884,99;0.9;250
c101,txt;101;6408,88;10;Recuit simule;1495,59;10;10000;5798;4913,29;0.9;250
c201,txt;101;5043,86;10;Recuit simule;1123,72;10;10000;5939;3920,14;0.9;250
r101,txt;101;6093,98;8;Recuit simule;1052,63;8;10000;6241;5041,34;0.9;250
