Nom fichier;Nb clients;Fitness de base;Nb vehicules min;Metaheuristique;Fitness resultat;Vehicules resultat;Nombre iterations;Temps d'execution;Amelioration fitness;Variation (µ);Température
A3205.txt;32;3011,74;5;Recuit simule;937,1;5;10000;3052;2074,64;0,9;10
A3305.txt;33;2379,0;5;Recuit simule;826,94;5;10000;3013;1552,06;0,9;10
A3306.txt;33;2030,78;6;Recuit simule;987,74;6;10000;3245;1043,03;0,9;10
A3405.txt;34;3385,29;5;Recuit simule;1161,16;5;10000;3305;2224,13;0,9;10
A3605.txt;36;2370,39;5;Recuit simule;862,86;5;10000;3156;1507,53;0,9;10
A3705.txt;37;2860,05;5;Recuit simule;855,05;5;10000;3303;2004,99;0,9;10
A3706.txt;37;2937,37;6;Recuit simule;968,97;6;10000;3181;1968,4;0,9;10
A3805.txt;38;2432,46;5;Recuit simule;791,85;5;10000;3106;1640,61;0,9;10
A3905.txt;39;2832,04;5;Recuit simule;874,77;5;10000;3293;1957,27;0,9;10
A3906.txt;39;3149,09;6;Recuit simule;909,24;6;10000;3350;2239,85;0,9;10
A4406.txt;44;3891,16;6;Recuit simule;1265,47;6;10000;3486;2625,69;0,9;10
A4506.txt;45;3814,31;6;Recuit simule;1254,67;6;10000;3547;2559,64;0,9;10
A4507.txt;45;3122,37;7;Recuit simule;1016,32;7;10000;4338;2106,05;0,9;10
A4607.txt;46;3075,03;7;Recuit simule;986,37;7;10000;4090;2088,66;0,9;10
A5307.txt;53;4122,7;7;Recuit simule;1283,76;7;10000;4481;2838,94;0,9;10
A5407.txt;54;3734,18;7;Recuit simule;1270,81;7;10000;4903;2463,37;0,9;10
A5509.txt;55;3693,79;9;Recuit simule;1155,93;9;10000;5173;2537,86;0,9;10
A6009.txt;60;4703,23;9;Recuit simule;1368,22;9;10000;5273;3335,01;0,9;10
A6109.txt;61;4161,32;9;Recuit simule;1311,86;9;10000;4974;2849,46;0,9;10
A6208.txt;62;4717,95;8;Recuit simule;1553,27;8;10000;5832;3164,67;0,9;10
A6310.txt;63;5249,4;10;Recuit simule;1638,85;10;10000;5146;3610,55;0,9;10
A6409.txt;64;5165,68;9;Recuit simule;1638,74;9;10000;7165;3526,94;0,9;10
A6509.txt;65;4768,6;9;Recuit simule;1421,85;9;10000;5929;3346,75;0,9;10
A6909.txt;69;4443,24;9;Recuit simule;1343,32;9;10000;5518;3099,92;0,9;10
A8010.txt;80;7588,88;10;Recuit simule;1924,67;10;10000;5819;5664,2;0,9;10
c101.txt;101;5991,27;10;Recuit simule;1353,04;10;10000;6988;4638,23;0,9;10
c201.txt;101;7163,57;10;Recuit simule;1430,94;10;10000;6885;5732,62;0,9;10
r101.txt;101;5381,61;8;Recuit simule;1015,93;8;10000;6840;4365,68;0,9;10
