Nom fichier;Nb clients;Fitness de base;Nb vehicules min;Metaheuristique;Fitness resultat;Vehicules resultat;Nombre iterations;Temps d'execution;Amelioration fitness;Variation (µ);Température
A3205,txt;32;2986,52;5;Recuit simule;1062,62;5;10000;492;1923,9;0.5;50
A3305,txt;33;2961,74;5;Recuit simule;995,91;5;10000;350;1965,84;0.5;50
A3306,txt;33;2611,64;6;Recuit simule;1011,94;7;10000;377;1599,7;0.5;50
A3405,txt;34;2334,6;5;Recuit simule;757,76;5;10000;356;1576,85;0.5;50
A3605,txt;36;2824,62;5;Recuit simule;884,04;5;10000;347;1940,59;0.5;50
A3705,txt;37;2654,53;5;Recuit simule;781,26;5;10000;359;1873,27;0.5;50
A3706,txt;37;2935,19;6;Recuit simule;1176,69;7;10000;380;1758,51;0.5;50
A3805,txt;38;3070,77;5;Recuit simule;1024,86;5;10000;354;2045,9;0.5;50
A3905,txt;39;2616,77;5;Recuit simule;935,41;5;10000;366;1681,35;0.5;50
A3906,txt;39;3137,35;6;Recuit simule;1000,37;6;10000;370;2136,98;0.5;50
A4406,txt;44;2850,42;6;Recuit simule;1064,93;6;10000;404;1785,49;0.5;50
A4506,txt;45;3733,35;6;Recuit simule;1243,87;7;10000;427;2489,47;0.5;50
A4507,txt;45;3400,26;7;Recuit simule;1136,81;7;10000;461;2263,44;0.5;50
A4607,txt;46;3584,16;7;Recuit simule;1151,15;7;10000;435;2433,02;0.5;50
A5307,txt;53;3790,98;7;Recuit simule;1117,18;8;10000;512;2673,8;0.5;50
A5407,txt;54;4522,39;7;Recuit simule;1448,21;8;10000;506;3074,18;0.5;50
A5509,txt;55;4023,55;9;Recuit simule;1542,35;9;10000;533;2481,21;0.5;50
A6009,txt;60;5191,03;9;Recuit simule;1676,11;9;10000;552;3514,92;0.5;50
A6109,txt;61;3818,14;9;Recuit simule;1215,98;10;10000;905;2602,16;0.5;50
A6208,txt;62;4109,27;8;Recuit simule;1216,39;8;10000;683;2892,88;0.5;50
A6310,txt;63;4839,3;10;Recuit simule;1666,18;10;10000;588;3173,11;0.5;50
A6409,txt;64;4469,92;9;Recuit simule;1509,88;9;10000;567;2960,04;0.5;50
A6509,txt;65;5164,38;9;Recuit simule;1709,04;10;10000;582;3455,34;0.5;50
A6909,txt;69;6081,63;9;Recuit simule;1822,27;9;10000;585;4259,37;0.5;50
A8010,txt;80;6359,37;10;Recuit simule;1794,71;11;10000;688;4564,66;0.5;50
c101,txt;101;6694,66;10;Recuit simule;1698,61;10;10000;790;4996,04;0.5;50
c201,txt;101;6687,06;10;Recuit simule;1387,07;10;10000;796;5299,99;0.5;50
r101,txt;101;4827,51;8;Recuit simule;984,51;8;10000;786;3843,0;0.5;50
