Nom fichier;Nb clients;Fitness de base;Nb vehicules min;Metaheuristique;Fitness resultat;Vehicules resultat;Nombre iterations;Temps d'execution;Amelioration fitness;Variation (µ);Température
A3205,txt;32;3439,58;5;Recuit simule;912,76;5;10000;2726;2526,82;0.9;10
A3305,txt;33;2605,32;5;Recuit simule;886,73;5;10000;2751;1718,59;0.9;10
A3306,txt;33;1764,55;6;Recuit simule;881,36;6;10000;2791;883,19;0.9;10
A3405,txt;34;2931,7;5;Recuit simule;1006,23;5;10000;2675;1925,47;0.9;10
A3605,txt;36;3233,9;5;Recuit simule;853,34;5;10000;2748;2380,56;0.9;10
A3705,txt;37;2449,16;5;Recuit simule;768,59;5;10000;2739;1680,57;0.9;10
A3706,txt;37;3361,43;6;Recuit simule;1206,17;7;10000;2980;2155,26;0.9;10
A3805,txt;38;3152,27;5;Recuit simule;1008,92;5;10000;2782;2143,35;0.9;10
A3905,txt;39;2601,91;5;Recuit simule;837,86;6;10000;2975;1764,05;0.9;10
A3906,txt;39;3741,63;6;Recuit simule;1052,34;6;10000;3028;2689,29;0.9;10
A4406,txt;44;4178,73;6;Recuit simule;1362,71;6;10000;3184;2816,02;0.9;10
A4506,txt;45;3445,23;6;Recuit simule;1045,63;7;10000;3430;2399,6;0.9;10
A4507,txt;45;3509,42;7;Recuit simule;1194,4;7;10000;3621;2315,01;0.9;10
A4607,txt;46;3728,89;7;Recuit simule;1161,96;7;10000;3656;2566,94;0.9;10
A5307,txt;53;3816,14;7;Recuit simule;1200,13;8;10000;4154;2616,01;0.9;10
A5407,txt;54;4371,66;7;Recuit simule;1413,59;8;10000;4067;2958,07;0.9;10
A5509,txt;55;3298,14;9;Recuit simule;1240,9;9;10000;4416;2057,24;0.9;10
A6009,txt;60;4388,21;9;Recuit simule;1332,23;10;10000;4685;3055,98;0.9;10
A6109,txt;61;4395,37;9;Recuit simule;1623,57;9;10000;4470;2771,79;0.9;10
A6208,txt;62;5441,28;8;Recuit simule;1775,06;8;10000;4407;3666,22;0.9;10
A6310,txt;63;4910,42;10;Recuit simule;1670,07;11;10000;4906;3240,35;0.9;10
A6409,txt;64;3795,81;9;Recuit simule;1261,12;9;10000;4567;2534,7;0.9;10
A6509,txt;65;5965,12;9;Recuit simule;1804,39;10;10000;4462;4160,73;0.9;10
A6909,txt;69;4899,08;9;Recuit simule;1459,21;10;10000;4616;3439,87;0.9;10
A8010,txt;80;5186,51;10;Recuit simule;1551,78;10;10000;5122;3634,73;0.9;10
c101,txt;101;6010,39;10;Recuit simule;1290,42;11;10000;6088;4719,97;0.9;10
c201,txt;101;5937,7;10;Recuit simule;1379,93;10;10000;6223;4557,76;0.9;10
r101,txt;101;4873,06;8;Recuit simule;995,2;10;10000;6257;3877,87;0.9;10
