Nom fichier,Nb clients,Fitness de base,Nb vehicules min,Metaheuristique,Fitness resultat,Vehicules resultat,Nombre iterations,Temps d'execution,Amelioration fitness,Taille liste tabou
A3205.txt,32,2660.89,5,Tabou,1027.5,5,1000,1316,1633.39,20
A3305.txt,33,3020.5,5,Tabou,991.59,5,1000,925,2028.91,20
A3306.txt,33,2675.74,6,Tabou,867.56,6,1000,1007,1808.17,20
A3405.txt,34,3000.95,5,Tabou,953.48,5,1000,1082,2047.47,20
A3605.txt,36,2772.49,5,Tabou,935.01,5,1000,1447,1837.47,20
A3705.txt,37,2568.84,5,Tabou,954.9,5,1000,1395,1613.94,20
A3706.txt,37,2954.79,6,Tabou,1081.71,6,1000,1243,1873.08,20
A3805.txt,38,2560.5,5,Tabou,831.56,5,1000,1267,1728.93,20
A3905.txt,39,2893.1,5,Tabou,1007.91,5,1000,1393,1885.2,20
A3906.txt,39,3023.95,6,Tabou,1078.48,6,1000,1694,1945.47,20
A4406.txt,44,2889.53,6,Tabou,943.44,6,1000,2474,1946.09,20
A4506.txt,45,3067.51,6,Tabou,1010.66,6,1000,2950,2056.85,20
A4507.txt,45,2823.07,7,Tabou,948.8,7,1000,2136,1874.27,20
A4607.txt,46,3338.27,7,Tabou,1011.42,7,1000,3196,2326.85,20
A5307.txt,53,3452.32,7,Tabou,1229.5,7,1000,3760,2222.83,20
A5407.txt,54,4571.41,7,Tabou,1361.96,7,1000,4312,3209.45,20
A5509.txt,55,4278.88,9,Tabou,1470.31,9,1000,3043,2808.57,20
A6009.txt,60,4102.78,9,Tabou,1405.98,9,1000,4623,2696.8,20
A6109.txt,61,4419.33,9,Tabou,1415.62,9,1000,3610,3003.71,20
A6208.txt,62,4222.56,8,Tabou,1228.6,8,1000,4781,2993.96,20
A6310.txt,63,6159.36,10,Tabou,2231.98,10,1000,4401,3927.38,20
A6409.txt,64,3988.37,9,Tabou,1204.52,9,1000,6468,2783.85,20
A6509.txt,65,5607.84,9,Tabou,1768.62,9,1000,4100,3839.22,20
A6909.txt,69,4757.07,9,Tabou,1476.31,9,1000,6062,3280.76,20
A8010.txt,80,5323.27,10,Tabou,1493.84,10,1000,9540,3829.43,20
c101.txt,101,7043.04,10,Tabou,1582.95,10,1000,28276,5460.09,20
c201.txt,101,5136.67,10,Tabou,1150.03,10,1000,26222,3986.64,20
r101.txt,101,4344.6,8,Tabou,917.36,8,1000,28637,3427.24,20
