Nom fichier;Nb clients;Fitness de base;Nb vehicules min;Metaheuristique;Fitness resultat;Vehicules resultat;Nombre iterations;Temps d'execution;Amelioration fitness;Taille liste tabou
A3205,txt;32;3365,91;5;Tabou;933,08;6;10000;12110;2432,82;30
A3305,txt;33;2782,25;5;Tabou;992,62;6;10000;9954;1789,63;30
A3306,txt;33;2225,01;6;Tabou;871,75;7;10000;9877;1353,25;30
A3405,txt;34;2083,26;5;Tabou;771,21;6;10000;12300;1312,04;30
A3605,txt;36;2565,81;5;Tabou;782,62;6;10000;16545;1783,19;30
A3705,txt;37;2394,41;5;Tabou;832,19;5;10000;14747;1562,22;30
A3706,txt;37;2672,73;6;Tabou;1218,28;8;10000;15566;1454,45;30
A3805,txt;38;2597,37;5;Tabou;919,04;8;10000;21865;1678,33;30
A3905,txt;39;3406,51;5;Tabou;971,96;6;10000;16526;2434,55;30
A3906,txt;39;2628,91;6;Tabou;965,85;7;10000;20725;1663,07;30
A4406,txt;44;3223,52;6;Tabou;1093,22;7;10000;21134;2130,3;30
A4506,txt;45;3825,98;6;Tabou;1077,37;7;10000;17867;2748,62;30
A4507,txt;45;3046,74;7;Tabou;928,47;8;10000;25123;2118,27;30
A4607,txt;46;3144,4;7;Tabou;1005,82;8;10000;26008;2138,58;30
A5307,txt;53;4399,06;7;Tabou;1532,48;9;10000;42018;2866,58;30
A5407,txt;54;4008,37;7;Tabou;1424,3;7;10000;24944;2584,06;30
A5509,txt;55;4899,89;9;Tabou;1609,75;10;10000;21560;3290,14;30
A6009,txt;60;4259,59;9;Tabou;1292,24;10;10000;42860;2967,36;30
A6109,txt;61;3618,21;9;Tabou;1164,03;12;10000;59097;2454,18;30
A6208,txt;62;6267,27;8;Tabou;1635,14;9;10000;36567;4632,12;30
A6310,txt;63;4464,49;10;Tabou;1627,32;11;10000;46783;2837,17;30
A6409,txt;64;3674,07;9;Tabou;1139,49;11;10000;62587;2534,58;30
A6509,txt;65;4838,88;9;Tabou;1396,91;11;10000;50617;3441,97;30
A6909,txt;69;5384,15;9;Tabou;1580,92;10;10000;54358;3803,23;30
A8010,txt;80;6254,21;10;Tabou;1744,2;12;10000;89020;4510,01;30
c101,txt;101;4878,15;10;Tabou;1101,71;12;10000;169254;3776,44;30
c201,txt;101;5231,05;10;Tabou;1235,11;11;10000;133412;3995,94;30
r101,txt;101;4880,46;8;Tabou;1165,3;11;10000;285074;3715,16;30
