Nom fichier;Nb clients;Fitness de base;Nb vehicules min;Metaheuristique;Fitness resultat;Vehicules resultat;Nombre iterations;Temps d'execution;Amelioration fitness;Variation (µ);Température
A3205,txt;32;2822,9;5;Recuit simule;926,62;6;10000;497;1896,29;0.5;10
A3305,txt;33;2568,6;5;Recuit simule;895,96;5;10000;349;1672,64;0.5;10
A3306,txt;33;3099,3;6;Recuit simule;1026,14;6;10000;360;2073,15;0.5;10
A3405,txt;34;2365,46;5;Recuit simule;781,66;6;10000;349;1583,8;0.5;10
A3605,txt;36;2899,72;5;Recuit simule;875,7;5;10000;347;2024,02;0.5;10
A3705,txt;37;2695,08;5;Recuit simule;984,02;5;10000;353;1711,06;0.5;10
A3706,txt;37;3318,51;6;Recuit simule;1070,68;7;10000;368;2247,83;0.5;10
A3805,txt;38;2903,53;5;Recuit simule;1083,05;5;10000;354;1820,48;0.5;10
A3905,txt;39;2475,71;5;Recuit simule;1015,4;6;10000;368;1460,31;0.5;10
A3906,txt;39;4103,1;6;Recuit simule;1275,81;7;10000;391;2827,29;0.5;10
A4406,txt;44;2905,6;6;Recuit simule;1002,89;6;10000;394;1902,71;0.5;10
A4506,txt;45;4971,14;6;Recuit simule;1430,06;7;10000;416;3541,07;0.5;10
A4507,txt;45;3312,47;7;Recuit simule;1070,59;7;10000;416;2241,88;0.5;10
A4607,txt;46;3261,73;7;Recuit simule;1094,76;7;10000;417;2166,97;0.5;10
A5307,txt;53;4283,02;7;Recuit simule;1287,99;7;10000;454;2995,04;0.5;10
A5407,txt;54;4351,1;7;Recuit simule;1418,67;8;10000;481;2932,43;0.5;10
A5509,txt;55;4065,51;9;Recuit simule;1363,86;9;10000;513;2701,66;0.5;10
A6009,txt;60;5382,51;9;Recuit simule;1666,53;9;10000;524;3715,98;0.5;10
A6109,txt;61;4030,52;9;Recuit simule;1256,05;11;10000;576;2774,47;0.5;10
A6208,txt;62;4530,94;8;Recuit simule;1318,9;9;10000;536;3212,04;0.5;10
A6310,txt;63;5244,72;10;Recuit simule;1860,42;10;10000;556;3384,3;0.5;10
A6409,txt;64;5494,22;9;Recuit simule;1606,22;9;10000;550;3888,0;0.5;10
A6509,txt;65;5436,38;9;Recuit simule;1682,38;11;10000;594;3754,0;0.5;10
A6909,txt;69;4826,75;9;Recuit simule;1314,38;11;10000;614;3512,37;0.5;10
A8010,txt;80;5761,25;10;Recuit simule;1785,0;12;10000;677;3976,25;0.5;10
c101,txt;101;5495,68;10;Recuit simule;1059,41;10;10000;751;4436,28;0.5;10
c201,txt;101;6784,73;10;Recuit simule;1564,22;10;10000;767;5220,52;0.5;10
r101,txt;101;5780,73;8;Recuit simule;1186,66;10;10000;753;4594,07;0.5;10
