Nom fichier;Nb clients;Fitness de base;Nb vehicules min;Metaheuristique;Fitness resultat;Vehicules resultat;Nombre iterations;Temps d'execution;Amelioration fitness;Taille liste tabou
A3205,txt;32;3025,48;5;Tabou;924,15;5;1000;823;2101,33;10
A3305,txt;33;2906,31;5;Tabou;956,51;6;1000;850;1949,8;10
A3306,txt;33;2580,88;6;Tabou;940,28;6;1000;764;1640,6;10
A3405,txt;34;2806,85;5;Tabou;925,09;7;1000;1437;1881,76;10
A3605,txt;36;3140,13;5;Tabou;1022,87;5;1000;1114;2117,26;10
A3705,txt;37;2821,67;5;Tabou;934,41;7;1000;1930;1887,26;10
A3706,txt;37;2946,29;6;Tabou;1162,12;7;1000;1150;1784,17;10
A3805,txt;38;2264,11;5;Tabou;784,55;6;1000;1772;1479,56;10
A3905,txt;39;2513,72;5;Tabou;871,73;5;1000;1376;1641,99;10
A3906,txt;39;2994,64;6;Tabou;1071,26;6;1000;1474;1923,39;10
A4406,txt;44;3101,37;6;Tabou;956,02;8;1000;2147;2145,35;10
A4506,txt;45;3237,72;6;Tabou;1097,49;9;1000;3163;2140,23;10
A4507,txt;45;3427,39;7;Tabou;1122,33;9;1000;2441;2305,05;10
A4607,txt;46;3356,14;7;Tabou;1115,68;8;1000;2889;2240,46;10
A5307,txt;53;3230,78;7;Tabou;1094,5;10;1000;4856;2136,29;10
A5407,txt;54;4905,32;7;Tabou;1379,92;8;1000;3171;3525,4;10
A5509,txt;55;4352,06;9;Tabou;1495,39;10;1000;2147;2856,67;10
A6009,txt;60;4558,84;9;Tabou;1569,11;11;1000;4707;2989,73;10
A6109,txt;61;4740,66;9;Tabou;1566,16;9;1000;2641;3174,51;10
A6208,txt;62;4223,17;8;Tabou;1219,89;10;1000;6258;3003,28;10
A6310,txt;63;3933,63;10;Tabou;1386,88;13;1000;5732;2546,75;10
A6409,txt;64;4937,76;9;Tabou;1517,75;11;1000;5071;3420,01;10
A6509,txt;65;5670,45;9;Tabou;1729,53;10;1000;4679;3940,92;10
A6909,txt;69;5168,42;9;Tabou;1652,4;10;1000;6020;3516,02;10
A8010,txt;80;6803,56;10;Tabou;1714,06;12;1000;10302;5089,5;10
c101,txt;101;5087,16;10;Tabou;1122,84;12;1000;17984;3964,31;10
c201,txt;101;6545,27;10;Tabou;1462,48;10;1000;12837;5082,79;10
r101,txt;101;5482,89;8;Tabou;1106,77;8;1000;18325;4376,11;10
