Nom fichier;Nb clients;Fitness de base;Nb vehicules min;Metaheuristique;Fitness resultat;Vehicules resultat;Nombre iterations;Temps d'execution;Amelioration fitness;Variation (µ);Température
A3205,txt;32;2947,97;5;Recuit simule;921,34;5;10000;832;2026,62;0.7;250
A3305,txt;33;2747,12;5;Recuit simule;945,98;5;10000;852;1801,14;0.7;250
A3306,txt;33;1730,57;6;Recuit simule;777,77;6;10000;851;952,8;0.7;250
A3405,txt;34;3043,17;5;Recuit simule;913,97;5;10000;824;2129,2;0.7;250
A3605,txt;36;2415,12;5;Recuit simule;823,34;5;10000;870;1591,79;0.7;250
A3705,txt;37;2786,61;5;Recuit simule;879,13;5;10000;861;1907,49;0.7;250
A3706,txt;37;3088,14;6;Recuit simule;1109,68;7;10000;925;1978,46;0.7;250
A3805,txt;38;2193,43;5;Recuit simule;843,24;5;10000;868;1350,19;0.7;250
A3905,txt;39;2374,25;5;Recuit simule;818,6;6;10000;931;1555,65;0.7;250
A3906,txt;39;3335,57;6;Recuit simule;1029,44;6;10000;917;2306,13;0.7;250
A4406,txt;44;3540,79;6;Recuit simule;1201,33;7;10000;997;2339,46;0.7;250
A4506,txt;45;4751,98;6;Recuit simule;1449,21;7;10000;1035;3302,77;0.7;250
A4507,txt;45;3290,25;7;Recuit simule;1068,93;7;10000;1059;2221,32;0.7;250
A4607,txt;46;4097,93;7;Recuit simule;1078,12;7;10000;1064;3019,81;0.7;250
A5307,txt;53;3814,72;7;Recuit simule;1258,54;8;10000;1165;2556,18;0.7;250
A5407,txt;54;4106,03;7;Recuit simule;1187,74;8;10000;1195;2918,3;0.7;250
A5509,txt;55;3712,82;9;Recuit simule;1450,39;10;10000;1262;2262,44;0.7;250
A6009,txt;60;3975,65;9;Recuit simule;1299,2;10;10000;1334;2676,46;0.7;250
A6109,txt;61;4177,08;9;Recuit simule;1285,16;10;10000;1326;2891,92;0.7;250
A6208,txt;62;5003,61;8;Recuit simule;1337,21;9;10000;1289;3666,4;0.7;250
A6310,txt;63;6168,94;10;Recuit simule;1672,8;11;10000;1357;4496,14;0.7;250
A6409,txt;64;4555,66;9;Recuit simule;1423,66;9;10000;1303;3132,0;0.7;250
A6509,txt;65;4767,95;9;Recuit simule;1601,53;10;10000;1461;3166,43;0.7;250
A6909,txt;69;4273,25;9;Recuit simule;1327,02;10;10000;1412;2946,23;0.7;250
A8010,txt;80;8629,64;10;Recuit simule;2022,76;10;10000;1518;6606,89;0.7;250
c101,txt;101;5096,5;10;Recuit simule;1059,62;10;10000;1854;4036,88;0.7;250
c201,txt;101;5897,7;10;Recuit simule;1138,36;10;10000;1798;4759,34;0.7;250
r101,txt;101;4259,51;8;Recuit simule;1007,11;11;10000;1799;3252,4;0.7;250
