Nom fichier;Nb clients;Fitness de base;Nb vehicules min;Metaheuristique;Fitness resultat;Vehicules resultat;Nombre iterations;Temps d'execution;Amelioration fitness;Taille liste tabou
A3205,txt;32;2387,89;5;Tabou;789,16;6;10000;12586;1598,73;20
A3305,txt;33;2356,92;5;Tabou;881,54;6;10000;15046;1475,38;20
A3306,txt;33;2529,23;6;Tabou;1002,07;7;10000;12088;1527,16;20
A3405,txt;34;3212,18;5;Tabou;983,37;7;10000;15126;2228,81;20
A3605,txt;36;2753,6;5;Tabou;974,46;5;10000;12658;1779,15;20
A3705,txt;37;3006,77;5;Tabou;1004,32;5;10000;14636;2002,45;20
A3706,txt;37;2551,08;6;Tabou;999,21;7;10000;13030;1551,87;20
A3805,txt;38;3593,7;5;Tabou;1028,61;5;10000;12283;2565,09;20
A3905,txt;39;2438,72;5;Tabou;834,19;5;10000;15955;1604,53;20
A3906,txt;39;3803,58;6;Tabou;1152,43;7;10000;15330;2651,16;20
A4406,txt;44;3412,52;6;Tabou;1006,17;8;10000;24975;2406,36;20
A4506,txt;45;3251,4;6;Tabou;983,45;8;10000;27315;2267,95;20
A4507,txt;45;3355,04;7;Tabou;1359,67;8;10000;17042;1995,37;20
A4607,txt;46;3640,17;7;Tabou;1086,52;8;10000;28895;2553,65;20
A5307,txt;53;3351,27;7;Tabou;1152,53;7;10000;27329;2198,74;20
A5407,txt;54;3396,61;7;Tabou;1323,67;10;10000;47465;2072,93;20
A5509,txt;55;4633,64;9;Tabou;1643,77;9;10000;28926;2989,87;20
A6009,txt;60;4115,32;9;Tabou;1198,48;11;10000;60326;2916,84;20
A6109,txt;61;3687,13;9;Tabou;1304,23;10;10000;34737;2382,9;20
A6208,txt;62;5276,81;8;Tabou;1442,1;9;10000;52647;3834,72;20
A6310,txt;63;4662,17;10;Tabou;1559,43;11;10000;42893;3102,74;20
A6409,txt;64;4155,41;9;Tabou;1204,49;11;10000;56104;2950,92;20
A6509,txt;65;4700,5;9;Tabou;1630,13;10;10000;46188;3070,37;20
A6909,txt;69;4804,16;9;Tabou;1458,47;9;10000;54858;3345,69;20
A8010,txt;80;5065,69;10;Tabou;1465,31;13;10000;110655;3600,38;20
c101,txt;101;5756,0;10;Tabou;1176,86;11;10000;170888;4579,14;20
c201,txt;101;6446,73;10;Tabou;1508,19;10;10000;138945;4938,55;20
r101,txt;101;4863,69;8;Tabou;1020,13;10;10000;231461;3843,55;20
